Region,Country,ProvState,Station,WMO.,Lat,Long,Elev,StdP,TZ,TZCode,ColdestMonth,DB990,WS_DB996,WD_DB996,HottestMonth,DBR,DB010,WB_DB010,WS_DB004,WD_DB004,taub,taud
6,NOR,,KIRKENES,10890,69.73,29.9,91,100.24,1,EUW,2,-24.1,3.4,160,7,6.3,19.8,13.7,4.9,210,0.331,2.387
6,NOR,,VARDO,10980,70.37,31.1,15,101.14,1,EUW,2,-11,8.8,220,8,3.3,14.6,12.4,4.3,130,0.331,2.385
6,NOR,,SKLINNA FYR,11020,65.2,11,16,101.13,1,EUW,2,-5.2,8.9,120,8,2.8,17.3,14.3,6.2,90,0.354,2.438
6,NOR,,HEIDRUN,11025,65.33,7.32,80,100.37,0,XXX,2,-2.1,10.9,90,8,2.4,16.4,14.1,7.5,110,0.35,2.445
6,NOR,,MYKEN,11150,66.77,12.48,13,101.17,1,EUW,2,-4.6,9.1,140,8,2.3,16.7,14.1,4.4,150,0.336,2.458
6,NOR,,BODO VI,11520,67.27,14.37,13,101.17,1,EUW,2,-9.9,8.9,90,7,5.2,20,14.5,4.5,100,0.317,2.432
6,NOR,,SKROVA FYR,11600,68.15,14.65,11,101.19,1,EUW,2,-6.1,7.1,70,7,3.6,19.1,13.8,4.8,90,0.339,2.421
6,NOR,,SORTLAND,11670,68.7,15.42,3,101.29,1,EUW,2,-9.1,1.5,300,7,4.3,18.1,13.2,3.8,160,0.319,2.454
6,NOR,,SVINOY LH,12050,62.33,5.27,37,100.88,1,EUW,2,-1.4,5.7,120,8,2.4,17.8,14.9,4.7,120,0.354,2.452
6,NOR,,ONA II,12120,62.87,6.53,15,101.14,1,EUW,2,-2.7,6,100,8,3.3,18.2,15.2,3.9,40,0.352,2.427
6,NOR,,TAFJORD,12180,62.23,7.42,17,101.12,1,EUW,2,-7,2.2,140,7,5.9,21.4,15.2,3.8,140,0.344,2.359
6,NOR,,SULA,12280,63.85,8.47,6,101.25,1,EUW,2,-3.8,7.9,120,8,3.2,17.5,14.4,3.8,100,0.354,2.45
6,NOR,,FOKSTUA II,12380,62.12,9.28,974,90.16,1,EUW,2,-18.2,1.4,140,7,8.3,18.5,11.7,3.8,200,0.304,2.371
6,NOR,,ORLAND III,12410,63.7,9.6,7,101.24,1,EUW,2,-8.2,6.7,120,8,6.5,21.1,15.3,4.7,140,0.344,2.472
6,NOR,,NORDOYAN FYR,12620,64.8,10.55,33,100.93,1,EUW,2,-6.3,11.8,120,8,3.1,18,14.4,5.7,110,0.338,2.49
6,NOR,,TRONDHEIM/VERNES,12710,63.47,10.93,17,101.12,1,EUW,1,-14.1,3.4,120,7,7.6,22.9,16,4.2,160,0.322,2.419
6,NOR,,GULLFAKS C,13000,61.2,2.27,78,100.39,0,XXX,2,0.4,8,80,8,2.1,17.1,14.9,5.2,40,0.355,2.461
6,NOR,,YTTEROYANE FYR,13040,61.57,4.68,25,101.03,1,EUW,2,-2,5.5,110,8,2.4,18.9,15.9,3.3,0,0.369,2.375
6,NOR,,FEDJE,13070,60.75,4.72,20,101.08,1,EUW,2,-2.9,5.8,110,8,2.9,19.2,15.1,4.3,350,0.368,2.403
6,NOR,,BERGEN/FLESLAND,13110,60.28,5.23,50,100.73,1,EUW,2,-5.9,1.5,60,7,6,21.1,15.3,3.7,340,0.343,2.395
6,NOR,,BERGEN/FLORIDA,13170,60.38,5.33,36,100.89,1,EUW,2,-5.7,1.2,130,7,6.1,22.5,15.8,3.7,310,0.344,2.394
6,NOR,,BRATA-SLETTOM,13600,61.9,7.92,664,93.6,1,EUW,2,-19.5,1.8,340,7,7.8,20.2,13.2,5.1,280,0.329,2.335
6,NOR,,FILEFJELL,13640,61.18,8.12,955,90.37,1,EUW,12,-19.1,0.5,0,7,8.1,19.3,11.4,1.7,0,0.308,2.381
6,NOR,,FAGERNES,13670,60.98,9.23,365,97.02,1,EUW,1,-21.1,2.8,320,7,9,23.3,13.5,2.3,130,0.34,2.336
6,NOR,,GULLFAX (PLATFORM),13755,61.03,2.03,10,101.2,0,XXX,2,0,13.7,340,8,2.2,17,14.8,8.2,170,0.37,2.425
6,NOR,,OSLO/GARDERMOEN,13840,60.2,11.08,204,98.9,1,EUW,1,-17.4,1.1,10,7,9.2,24.1,15.6,3.5,200,0.336,2.43
6,NOR,,RENA-HAUGEDALEN,13890,61.17,11.45,240,98.47,1,EUW,12,-22.7,0.5,130,7,10.7,23.7,15.1,1.5,270,0.325,2.404
6,NOR,,EKOFISK,14000,56.9,3.35,29,100.98,0,XXX,2,0.9,7.9,50,8,1.7,18.4,17,4.6,100,0.388,2.36
6,NOR,,UTSIRA LH,14030,59.3,4.87,56,100.65,1,EUW,2,-2.5,4.4,110,8,3.2,19.1,16.1,5.6,120,0.37,2.416
6,NOR,,EKOFISK OIL PLTFRM,14033,56.55,3.25,3,101.29,0,XXX,2,0.1,12.9,120,8,2.4,18.8,17,6.3,110,0.389,2.366
6,NOR,,SLATTEROY FYR,14060,59.92,5.07,16,101.13,1,EUW,2,-2.1,4.4,140,8,3,19.8,15.8,4.9,190,0.358,2.434
6,NOR,,STAVANGER/SOLA,14150,58.88,5.63,9,101.22,1,EUW,2,-7.2,1.3,140,8,5.7,21.9,16.1,5.1,140,0.361,2.441
6,NOR,,EIK HOVE,14250,58.52,6.52,66,100.53,1,EUW,2,-12.3,0.8,350,7,8.7,22.9,16.7,3.1,180,0.341,2.448
6,NOR,,LISTA FYR,14270,58.12,6.57,14,101.16,1,EUW,2,-5.8,3.2,40,8,4.1,20.4,16.3,5.9,120,0.363,2.436
6,NOR,,OKSOY FYR,14480,58.07,8.05,8,101.23,1,EUW,2,-6.4,6.5,0,8,4.5,21,17.2,5.8,70,0.364,2.439
6,NOR,,KRISTIANSAND/KJEVIK,14520,58.2,8.08,17,101.12,1,EUW,2,-11.6,3.8,50,7,8.3,23.1,16,4.1,210,0.351,2.462
6,NOR,,TVEITSUND,14550,59.03,8.52,252,98.33,1,EUW,2,-13.3,0.9,30,7,8.6,22.7,15.6,1.8,250,0.327,2.455
6,NOR,,TORUNGEN LH,14650,58.4,8.78,15,101.14,1,EUW,2,-7.5,6.9,20,8,4.4,21.3,17.8,4.9,60,0.362,2.455
6,NOR,,LYNGOR FYR,14670,58.63,9.15,5,101.26,1,EUW,2,-7.9,3.8,10,8,4.2,21.5,17,4.1,210,0.362,2.456
6,NOR,,KONNERUD,14770,59.72,10.15,193,99.03,1,EUW,12,-17,1.3,0,7,8.6,24.4,15.2,2.9,180,0.339,2.402
6,NOR,,FERDER LH,14820,59.03,10.52,8,101.23,1,EUW,2,-7,6.9,40,7,3.4,21.8,18.2,4,220,0.354,2.42
6,NOR,,HAKADAL,14880,60.12,10.83,170,99.3,1,EUW,1,-16,0.8,290,7,8.8,25,16.9,3.2,170,0.34,2.408
6,NOR,,OSLO-BLINDERN,14920,59.95,10.72,97,100.17,1,EUW,1,-12.2,1.6,40,7,8.1,24.9,16.5,2.8,220,0.342,2.408
6,NOR,,RYGGE,14940,59.38,10.78,53,100.69,1,EUW,1,-14.1,1.6,20,7,7.7,23.7,16.3,3.4,200,0.341,2.428
6,SWE,,RITSEM,20130,67.73,17.47,533,95.08,1,EUW,1,-22.6,0.9,20,7,6.4,18.3,12.3,2.3,200,0.307,2.375
6,SWE,,KATTERJAKK,20200,68.42,18.17,517,95.27,1,EUW,2,-23.1,0.7,230,7,6.2,17.7,12.1,3.6,200,0.304,2.399
6,SWE,,RENSJON,20310,68.07,19.83,493,95.54,1,EUW,1,-28.3,0.4,190,7,8.4,19.8,13.5,3.3,190,0.291,2.438
6,SWE,,NIKKALUOKTA,20360,67.85,19.03,468,95.83,1,EUW,1,-34,0.4,320,7,8.2,19.6,13.1,2.8,260,0.293,2.431
6,SWE,,LATNIVAARA,20380,67.25,20.27,453,96,1,EUW,1,-28.5,0.1,340,7,10.7,20.9,14,2.9,300,0.293,2.493
6,SWE,,KIRUNA,20440,67.82,20.33,447,96.07,1,EUW,1,-26.6,1.8,220,7,8,20,13.3,3.4,190,0.294,2.461
6,SWE,,GALLIVARE,20490,67.15,20.65,360,97.07,1,EUW,2,-27.9,1.2,250,7,9.5,22,14.2,3.2,170,0.298,2.48
6,SWE,,NAIMAKKA,20550,68.68,21.53,402,96.59,1,EUW,1,-31.1,1.1,270,7,8.5,19.4,13.3,3.2,100,0.293,2.442
6,SWE,,SAITTAROVA,20640,67.33,22.23,240,98.47,1,EUW,1,-25.9,0.5,320,7,8.1,21.8,14.9,2.7,210,0.315,2.446
6,SWE,,PARKALOMPOLO,20720,67.73,22.83,313,97.62,1,EUW,1,-27.5,0.1,340,7,8.8,21.1,14.3,2.4,200,0.296,2.497
6,SWE,,KARESUANDO,20800,68.45,22.45,331,97.41,1,EUW,2,-31.1,0.6,90,7,8.6,21.4,13.9,3.4,180,0.312,2.408
6,SWE,,LAINIO,20860,67.77,22.35,325,97.48,1,EUW,1,-28.6,1.1,320,7,7.5,20,13.4,3.5,140,0.31,2.459
6,SWE,,PAJALA,20960,67.22,23.4,168,99.32,1,EUW,1,-29.1,0.4,320,7,9.1,22.7,15,2.4,180,0.32,2.427
6,SWE,,HEMAVAN-GIEREVARTO,21030,65.78,15.07,793,92.15,1,EUW,2,-24.3,3.1,130,7,6.4,18,12.6,4.2,150,0.286,2.42
6,SWE,,KLIMPFJALL,21080,65.07,14.8,560,94.78,1,EUW,1,-26.1,0.6,320,7,8.2,18.3,11.9,3.4,230,0.31,2.383
6,SWE,,VUOGGATJALME,21120,66.57,16.35,500,95.46,1,EUW,1,-32.5,0,0,7,8.1,18.3,12.3,4.6,0,0.296,2.417
6,SWE,,KVIKKJOKK-ARRENJARK,21200,66.88,17.75,315,97.6,1,EUW,1,-30,0.6,0,7,9,21,13.9,2.5,180,0.314,2.398
6,SWE,,ARJEPLOG,21240,66.05,17.87,432,96.24,1,EUW,1,-28.1,0.2,90,7,7.3,20.7,14.1,2.4,180,0.294,2.488
6,SWE,,GUNNARN,21280,65.02,17.68,283,97.97,1,EUW,1,-28.7,0.2,320,7,9.4,22.8,14.5,2.8,270,0.301,2.506
6,SWE,,BURESJON,21350,65.57,17.87,393,96.69,1,EUW,1,-29.7,0.4,120,7,9,21.9,14.7,2.3,220,0.296,2.501
6,SWE,,JOKKMOKK (SWE-AFB),21420,66.63,19.65,264,98.19,1,EUW,1,-31.6,0.1,180,7,7.8,21.2,14.4,3.6,90,0.299,2.497
6,SWE,,VIDSEL,21540,65.88,20.15,182,99.16,1,EUW,2,-27.8,0.7,280,7,9,23.4,15.4,2.6,230,0.305,2.493
6,SWE,,PALKEM,21640,66.38,21.63,261,98.23,1,EUW,1,-23.4,0.9,320,7,7.8,20.5,13.7,3.4,180,0.302,2.494
6,SWE,,PITE-RONNSKAR,21760,65.03,21.57,4,101.28,1,EUW,2,-20,4.3,350,7,4,19.3,16,4.5,170,0.327,2.48
6,SWE,,OVERKALIX SVARTBYN,21810,66.27,22.85,62,100.58,1,EUW,2,-27.6,0.1,340,7,9.2,23.3,16.1,2.8,180,0.307,2.49
6,SWE,,LULEA-KALLAX,21860,65.55,22.13,17,101.12,1,EUW,2,-23.3,1.3,330,7,7.2,22,15.9,3.9,180,0.327,2.439
6,SWE,,RODKALLEN,21880,65.32,22.38,2,101.3,1,EUW,2,-20.2,3.6,20,7,2.8,19.3,16.9,4.5,180,0.328,2.446
6,SWE,,HAPARANDA,21960,65.83,24.15,6,101.25,1,EUW,2,-24.2,0.9,0,7,7.4,21.6,15.5,3.1,180,0.329,2.44
6,SWE,,STORLIEN,22060,63.3,12.12,644,93.82,1,EUW,2,-18.1,1,100,7,7,19.6,12.4,4.1,200,0.291,2.462
6,SWE,,SYLARNA,22090,63.05,12.28,1030,89.55,1,EUW,2,-17.7,5.8,160,7,5.9,16.9,11.3,4.3,200,0.283,2.469
6,SWE,,KORSVATTNET,22210,63.83,13.5,717,93,1,EUW,2,-19.9,3,30,7,7.2,19.6,13.3,3.2,190,0.289,2.429
6,SWE,,GADDEDE,22220,64.5,14.17,330,97.42,1,EUW,2,-23.4,0.2,0,7,8.5,21.3,14.6,2.9,180,0.299,2.449
6,SWE,,OSTERSUND FROSON,22260,63.2,14.5,359,97.09,1,EUW,1,-19.8,1.3,100,7,7.7,22,14.5,3.5,130,0.299,2.488
6,SWE,,JUNSELE,22430,63.68,16.95,214,98.78,1,EUW,1,-26.4,0.3,80,7,9.6,23.6,15.6,2,180,0.304,2.513
6,SWE,,VILHELMINA,22450,64.58,16.85,349,97.2,1,EUW,2,-29.8,0.3,110,7,10,22.4,14.7,3,190,0.298,2.508
6,SWE,,KRANGEDE,22470,63.15,16.17,184,99.13,1,EUW,1,-24.2,0.3,330,7,10.2,23.7,16,2.8,210,0.306,2.495
6,SWE,,IDVATTNET,22520,64.45,17.08,353,97.16,1,EUW,1,-30.6,0.4,230,7,9.4,21.2,13.6,3.7,90,0.298,2.508
6,SWE,,SKAGSUDDE,22690,63.18,19.02,11,101.19,1,EUW,2,-15.9,4.5,40,7,3.6,20.1,17.3,4.1,200,0.336,2.5
6,SWE,,JARNASKLUBB,22840,63.43,19.68,7,101.24,1,EUW,2,-17.3,4.2,350,7,5,20.6,17.2,4.2,60,0.341,2.472
6,SWE,,UMEA,22860,63.8,20.28,8,101.23,1,EUW,2,-21.2,1.3,320,7,9,22.4,16.1,4.3,200,0.335,2.453
6,SWE,,HOLMOGADD,22880,63.6,20.75,6,101.25,1,EUW,2,-16,3.5,0,7,3.6,19.4,16.4,3.5,200,0.339,2.432
6,SWE,,BJUROKLUBB,22970,64.48,21.58,43,100.81,1,EUW,2,-18.7,4.4,340,7,5.6,20.4,15.8,4.7,180,0.34,2.489
6,SWE,,RORBACKSNAS,23060,61.13,12.82,459,95.93,1,EUW,1,-24.7,0.2,0,7,10.8,23.2,14.7,2.2,230,0.315,2.46
6,SWE,,IDRE FJALL,23070,61.88,12.85,869,91.31,1,EUW,2,-16.4,3.7,130,7,6.3,19.6,12.6,4.5,220,0.301,2.472
6,SWE,,TANNAS,23080,62.45,12.67,724,92.92,1,EUW,12,-19.2,0.3,120,7,9.1,20.6,13.6,1.5,230,0.292,2.479
6,SWE,,SARNA,23160,61.7,13.18,425,96.32,1,EUW,1,-27.7,0.5,320,7,10.8,22.2,14,2.6,180,0.313,2.471
6,SWE,,SVEG,23240,62.02,14.37,363,97.04,1,EUW,1,-23.3,0.2,230,7,10,23.4,15,3.3,230,0.316,2.458
6,SWE,,HAMRA,23290,61.67,15,455,95.98,1,EUW,1,-17.2,2.1,340,7,7.9,21.9,14.5,2.5,180,0.317,2.447
6,SWE,,EDSBYN,23380,61.37,15.72,185,99.12,1,EUW,1,-21.9,1.6,220,7,10.7,23.7,16.3,2.6,220,0.325,2.444
6,SWE,,FRANSTA,23420,62.5,16.18,75,100.43,1,EUW,1,-26.3,0,20,7,11.1,24.1,16.1,2.8,180,0.329,2.441
6,SWE,,KUGGOREN,23550,61.7,17.53,10,101.2,1,EUW,2,-11.5,5.2,310,7,4.4,20.7,17,4.1,170,0.342,2.455
6,SWE,,SUNDSVALL HARNOSAND,23660,62.52,17.45,8,101.23,1,EUW,1,-20,1.3,320,7,8.8,22.8,16.2,4.4,150,0.331,2.463
6,SWE,,BRAMON,23680,62.22,17.75,18,101.11,1,EUW,2,-12.6,5.3,310,7,4,20.5,17,4.2,190,0.336,2.503
6,SWE,,SODERHAMN (SWE-AFB),23760,61.27,17.1,36,100.89,1,EUW,1,-16.5,2.9,300,7,9.1,23.1,15.7,4.1,130,0.331,2.449
6,SWE,,LUNGO,23820,62.65,18.1,18,101.11,1,EUW,2,-15.5,5.9,320,7,5.6,21.1,17,5.2,30,0.34,2.473
6,SWE,,OSTMARK,24000,60.35,12.65,310,97.66,1,EUW,1,-17.9,0.7,320,7,10.9,23.6,15.3,3.9,230,0.32,2.466
6,SWE,,BLOMSKOG,24080,59.22,12.08,171,99.29,1,EUW,1,-14.6,0.7,40,7,9,23.5,16.4,1.9,110,0.328,2.43
6,SWE,,MALUNG,24100,60.68,13.72,308,97.68,1,EUW,2,-22.2,0.7,0,7,11,23.7,15.2,2.1,180,0.32,2.466
6,SWE,,ARVIKA,24110,59.67,12.63,67,100.52,1,EUW,1,-19.7,0.2,50,7,11.3,24.9,16.3,2.4,180,0.332,2.428
6,SWE,,KARLSTAD SOL,24150,59.37,13.47,46,100.77,1,EUW,2,-14.9,2.2,350,7,9.3,24.8,16.9,3.7,170,0.344,2.414
6,SWE,,KARLSTAD FLYGPLATS,24180,59.45,13.47,100,100.13,1,EUW,2,-15.2,1.4,0,7,8.6,24,17,3.5,190,0.328,2.45
6,SWE,,GUSTAVSFORS,24260,60.15,13.8,188,99.09,1,EUW,12,-22.3,0.1,170,7,11.6,24.4,16.4,2,190,0.329,2.423
6,SWE,,OREBRO,24320,59.23,15.05,55,100.67,1,EUW,2,-14.1,1.5,250,7,9.9,25,17.5,3.2,250,0.331,2.45
6,SWE,,BORLANGE,24350,60.43,15.52,150,99.54,1,EUW,2,-16.2,1.7,270,7,9.2,24.2,15.8,3.1,110,0.329,2.446
6,SWE,,AMOT,24400,60.97,16.43,162,99.39,1,EUW,1,-19.7,1.2,240,7,10.7,24,16.7,2.7,230,0.327,2.452
6,SWE,,FOLKARNA,24440,60.17,16.32,80,100.37,1,EUW,1,-19.2,1,20,7,10.6,24.9,16.6,2.5,230,0.327,2.462
6,SWE,,VASTERAS/HASSLO AFB,24460,59.58,16.63,31,100.95,1,EUW,2,-15.2,1,0,7,9.8,25.1,16.7,3.5,200,0.331,2.443
6,SWE,,KILSBERGEN-SUTTARBOD,24520,59.3,14.9,219,98.72,1,EUW,2,-12.6,2.5,330,7,6.9,23.5,16.7,2.7,240,0.327,2.453
6,SWE,,GAVLE/SANDVIKEN AFB,24530,60.72,17.17,16,101.13,1,EUW,1,-16.4,0.7,200,7,9.3,23.9,17,3.2,210,0.331,2.442
6,SWE,,FILM,24560,60.23,17.9,35,100.91,1,EUW,2,-16.1,0.4,200,7,10.3,25.1,17.5,2.7,220,0.33,2.469
6,SWE,,UPPSALA,24580,59.9,17.6,21,101.07,1,EUW,2,-15.8,1,310,7,9.8,24.6,17.2,3.5,230,0.346,2.408
6,SWE,,STOCKHOLM/ARLANDA,24600,59.62,17.95,61,100.59,1,EUW,2,-13.8,2.1,250,7,9.4,25.2,16.7,4.5,220,0.331,2.45
6,SWE,,STOCKHOLM/BROMMA,24640,59.37,17.9,14,101.16,1,EUW,2,-12.9,1.5,290,7,8.8,25.1,16.9,3.8,210,0.337,2.409
6,SWE,,TULLINGE,24690,59.18,17.92,45,100.79,1,EUW,2,-16.3,0.3,240,7,10,24.3,17.4,3.7,140,0.338,2.416
6,SWE,,SINGO ISLAND,24740,60.17,18.75,14,101.16,1,EUW,2,-12.3,2.8,270,7,7.7,22.9,16.2,4,180,0.354,2.445
6,SWE,,FLODA,24760,59.05,16.4,33,100.93,1,EUW,1,-15.7,0.7,300,7,10.3,25.1,17.8,3.1,130,0.335,2.429
6,SWE,,STOCKHOLM/OBSERVATO,24840,59.35,18.07,44,100.8,1,EUW,2,-10.5,0,0,7,7.3,25.4,17.3,0,0,0.337,2.416
6,SWE,,SKAVSTA,24853,58.78,16.9,43,100.81,1,EUW,1,-13.8,2.3,300,7,9.9,25.1,18,4.2,150,0.336,2.431
6,SWE,,STAVSNAS,24870,59.3,18.7,18,101.11,1,EUW,2,-9.9,3.9,290,7,6.2,23.5,17.4,3.3,190,0.333,2.463
6,SWE,,ORSKAR,24880,60.53,18.38,9,101.22,1,EUW,2,-8.2,6.5,200,7,5,22.7,17.4,5.3,130,0.349,2.423
6,SWE,,SVENSKA HOGARNA,24960,59.45,19.5,12,101.18,1,EUW,2,-7.4,9.1,20,8,3.6,21.4,17.8,4.4,180,0.364,2.435
6,SWE,,NORDKOSTER,25000,58.9,11,35,100.91,1,EUW,2,-8.9,5.7,40,8,4.3,22.5,17.7,4.1,310,0.346,2.488
6,SWE,,MASESKAR,25050,58.1,11.33,16,101.13,1,EUW,1,-6.9,6.9,70,7,3,21.9,18.5,4.8,80,0.354,2.447
6,SWE,,GOTEBORG/SAVE,25120,57.78,11.88,16,101.13,1,EUW,2,-11,1.2,60,7,7.8,24.1,17.1,4.3,270,0.338,2.408
6,SWE,,GOTEBORG,25130,57.72,12,2,101.3,1,EUW,1,-9.5,1.5,30,7,6.9,25.4,17.5,3.3,250,0.354,2.372
6,SWE,,NIDINGEN,25180,57.3,11.9,2,101.3,1,EUW,2,-6.1,6.3,40,7,3.4,21.8,17.6,4,160,0.352,2.395
6,SWE,,SATENAS,25200,58.43,12.72,54,100.68,1,EUW,2,-11.6,1.4,60,7,8.2,23.5,17.4,3.9,0,0.344,2.407
6,SWE,,GOTEBORG/LANDVETTER,25260,57.67,12.28,155,99.48,1,EUW,2,-10.7,3.3,30,7,8.1,24.2,16.1,4,210,0.344,2.395
6,SWE,,RANGEDALA,25360,57.78,13.17,299,97.78,1,EUW,1,-11.5,0.9,10,7,7.7,23.3,16.5,2,140,0.324,2.446
6,SWE,,KARLSBORG,25440,58.52,14.52,94,100.2,1,EUW,1,-12,2.5,260,7,7.6,22.7,16,2.8,190,0.345,2.416
6,SWE,,JONKOPING/AXAMO,25500,57.75,14.08,224,98.66,1,EUW,2,-13.6,1.7,270,7,10.2,24.1,15.9,3.9,70,0.33,2.432
6,SWE,,MALEXANDER,25520,58.07,15.23,197,98.98,1,EUW,1,-12.1,1,20,7,9.6,25.2,16.8,2.6,270,0.347,2.399
6,SWE,,HAGSHULT,25560,57.3,14.13,169,99.31,1,EUW,2,-15.2,0.7,30,7,11.6,24.9,16.5,3.1,150,0.348,2.391
6,SWE,,LINKOPING/MALMSLATT,25620,58.4,15.53,93,100.21,1,EUW,2,-12.5,1.4,200,7,9.6,24.8,17.3,3.2,280,0.334,2.432
6,SWE,,HARSTENA,25630,58.25,17.02,18,101.11,1,EUW,2,-9.6,4.4,320,7,6,22.5,17.5,3.9,160,0.353,2.404
6,SWE,,ANGELHOLM,25635,56.3,12.85,21,101.07,1,EUW,2,-9.2,2,140,7,7.9,24.3,17.6,4.6,130,0.353,2.39
6,SWE,,MALILLA,25660,57.4,15.82,98,100.15,1,EUW,1,-14.5,0.6,340,7,12,25.9,16.4,2.9,230,0.355,2.377
6,SWE,,LANDSORT,25670,58.75,17.87,20,101.08,1,EUW,2,-8.3,6.8,340,7,3.5,21.3,18,4.4,230,0.35,2.425
6,SWE,,NORRKOPING/BRAVALLA,25700,58.62,16.12,33,100.93,1,EUW,2,-14.5,2.5,280,7,9.3,24.4,17,3.5,260,0.354,2.374
6,SWE,,NORRKOPING,25740,58.58,16.15,35,100.91,1,EUW,2,-13.5,1.1,280,7,8.7,25.3,17.6,2.8,130,0.354,2.374
6,SWE,,OLANDS NORRA UDDE,25750,57.37,17.1,4,101.28,1,EUW,2,-5.7,6,320,7,5.4,22.8,18.4,4.8,160,0.369,2.404
6,SWE,,GLADHAMMAR,25760,57.78,16.6,9,101.22,1,EUW,1,-13.2,3,0,7,10.7,25,16.1,4.4,140,0.357,2.412
6,SWE,,FARO ISLAND,25880,57.9,19.17,8,101.23,1,EUW,2,-6.6,5,340,7,5.9,21.7,16.9,4.3,180,0.348,2.435
6,SWE,,GOTSKA SANDON,25890,58.4,19.2,17,101.12,1,EUW,2,-6.2,4.7,90,7,5.8,22.4,17.7,4,180,0.346,2.456
6,SWE,,VISBY,25900,57.67,18.35,47,100.76,1,EUW,2,-7.8,3.6,40,7,7.2,23.2,17.1,4.9,110,0.358,2.417
6,SWE,,HALLANDS VADERO,26050,56.45,12.55,10,101.2,1,EUW,1,-5.9,5.2,60,7,4.6,22.8,18.3,4.3,160,0.351,2.412
6,SWE,,KULLEN (LGT-H),26060,56.3,12.45,72,100.46,1,EUW,2,-6.1,5.3,20,7,4.3,22,16.4,4.2,140,0.351,2.39
6,SWE,,ANGELHOLM/BARKAKRA,26070,56.28,12.08,18,101.11,1,EUW,2,-8.6,2.1,130,7,7.9,24.6,17.5,4.6,130,0.352,2.39
6,SWE,,HELSINGBORG,26110,56.03,12.77,44,100.8,1,EUW,1,-7.8,2.7,40,8,7.6,24.5,18,3.4,210,0.354,2.422
6,SWE,,FALSTERBO,26160,55.38,12.82,5,101.26,1,EUW,2,-5.2,4.3,30,7,5.1,22.7,18.3,4.4,100,0.362,2.348
6,SWE,,LJUNGBY,26220,56.85,13.88,148,99.56,1,EUW,1,-13.7,1,340,7,10.9,24.6,17,2.8,270,0.348,2.391
6,SWE,,SKILLINGE,26250,55.48,14.32,5,101.26,1,EUW,1,-6,3.2,310,7,6.8,22.2,18.5,3.9,290,0.373,2.351
